Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C101 C102 C105 C106,C_Small,100 nF,GRM155R71H104KE14D,Murata Electronics,,,,C_0402_1005Metric,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4
2,C103 C104,C,1 µF,GRT21BR71H105KE01L,Murata Electronics,,,,C_0805_2012Metric,50V 1uF ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2
3,D101 D102 D103 D104 D105 D106 D107 D108 D109 D110 D111 D112 D113 D114 D115,LED,LED,19-217/BHC-ZL1M2RY/3T,Everlight Elec,,,,LED_0603_1608Metric,Colorless transparence -40℃~+85℃ 465nm~475nm blue 120° 110mW 0603 Light Emitting Diodes (LED) ROHS,15
4,J103 J104,Conn_01x07,Disp1,DS1023-1*7S21,CONNFLY,,,,PinSocket_1x07_P2.54mm_Vertical,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",2
5,J101,Conn_02x20_Odd_Even,GPIO,DS1023-2*20S21,CONNFLY,,,,PinSocket_2x20_P2.54mm_Vertical,"Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",1
6,J102,USB_B_Micro,serial,1050171001,MOLEX,,WM11262CT-ND,,USB_Micro-B_Molex-105017-0001,USB 2.0 1 Surface Mount 5P Female -30℃~+85℃ Micro-B SMD USB Connectors ROHS,1
7,JP101,SolderJumper_2_Open,ID_WP,DNP,,,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,"Solder Jumper, 2-pole, open",1
8,JP102 JP103,SolderJumper_3_Open,TxD,DNP,,,,,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,"Solder Jumper, 3-pole, open",2
9,R101 R102 R103 R104 R105 R106 R108 R110 R111 R112 R114 R116 R117 R118 R119,R,1 kΩ,RC0402JR-071KL,YAGEO,,311-1.0KJRCT-ND,,R_0402_1005Metric,62.5mW Thick Film Resistors ±100ppm/℃ ±5% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,15
10,R107 R109 R113 R115,R_Small,3.9 kΩ,AF0402FR-073K9L,YAGEO,,,,R_0402_1005Metric,62.5mW Thick Film Resistors ±100ppm/℃ ±1% 3.9kΩ 0402 Chip Resistor - Surface Mount ROHS,4
11,U101,CAT24C256,AT24C256C-SSHL,AT24C256C-SSHL-T,Microchip Tech,,,,SOIC-8_3.9x4.9mm_P1.27mm,256Kbit I2C SOP-8 EEPROM ROHS,1
12,U102,ATECC608A-MAHDA,ATECC608A-MAHDA,ATECC608A-MAHDA-T,Microchip Tech,,,,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,DFN-8-EP(2x3) Security Verification / Encryption ICs ROHS,1
13,U105,CH330N,CH330N,CH330N,WCH(Jiangsu Qin Heng),,,,SOIC-8_3.9x4.9mm_P1.27mm,"USB serial converter, UART, SOIC-8",1
14,U104,USBLC6-2SC6,USBLC6-2SC6,USBLC6-2SC6,STMicroelectronics,,,,SOT-23-6,6V 17V Unidirectional 5.25V SOT-23-6 ESD Protection Devices ROHS,1
15,U103,XC6206PxxxMR,XC6206P332MR,XC6206P332MR,,,,,SOT-23-3,250mA null 12V~12V positive 6V SOT-23-3L Linear Voltage Regulators (LDO) ROHS,1





Project info:
Schematic:,baggerdails
Variant:,default
Revision:,
Date:,2023-08-17
KiCad Version:,7.0.8-7.0.8~ubuntu23.04.1
Statistics:
Component Groups:,15
Component Count:,52
Fitted Components:,52
Number of PCBs:,1
Total Components:,52
