"Designator","MPN","Quantity Per PCB","Link"
"C101,C102,C105,C106","GRM155R71H104KE14D","4",""
"C103,C104","GRT21BR71H105KE01L","2",""
"D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115","19-217/BHC-ZL1M2RY/3T","15",""
"FB101","BLM15AG121SN1D","1",""
"J103,J104","DS1023-1*7S21","2",""
"J101","DS1023-2*20S21","1",""
"J102","1050171001","1",""
"R101,R102,R103,R104,R105,R106,R108,R110,R111,R112,R114,R116,R117,R118,R119","RC0402JR-071KL","15",""
"R107,R109,R113,R115","AF0402FR-073K9L","4",""
"U101","AT24C256C-SSHL-T","1",""
"U102","ATECC608A-MAHDA-T","1",""
"U105","CH330N","1",""
"U104","USBLC6-2SC6","1",""
"U103","XC6206P332MR","1",""
